address,comuna,surface_m2,distance_to_metro,price_uf
"Av. Arturo Alessandri 1528, Macul",Macul,33,441,8.71
"Nayareth Toro 765, Santiago",Santiago,66,569,16.89
"Psje. Las Rosas 498, La Florida",La Florida,40,2321,12.9
"Avenida Francisco Rodríguez 25, Santiago",Santiago,55,635,16.29
"Calle Las Mosquetas 989, San Miguel",San Miguel,36,2449,9.97
"Avenida Caupolicán 502, Las Condes",Las Condes,34,159,19.83
"Pasaje Los Coihues 2296, Ñuñoa",Ñuñoa,46,1030,14.07
"Avda. Jacinto Soto 866, Providencia",Providencia,44,1338,14.68
"Esmeralda 2599, Providencia",Providencia,54,909,17.38
"Calle Lautaro 7147, Estación Central",Estación Central,40,746,8.49
"Las Hortensias 943, Ñuñoa",Ñuñoa,21,665,8.56
"Calle O'Higgins 997, Maipú",Maipú,37,1578,10.64
"Calle Los Calafates 1, Santiago",Santiago,61,1379,12.59
"Calle Los Copihues 54, La Florida",La Florida,39,104,10.01
"Esmeralda 362, San Miguel",San Miguel,40,1510,14.65
"Paula Jaraquemada 751, San Miguel",San Miguel,66,427,14.83
"Calle Los Aromos 7596, San Miguel",San Miguel,33,234,11.58
"José de San Martín 852, Lo Barnechea",Lo Barnechea,24,1630,12.5
"Arturo Prat 73, Macul",Macul,41,452,8.78
"Gloria Pérez 45, Providencia",Providencia,36,1321,16.82
"Lautaro 4188, Vitacura",Vitacura,30,244,18.73
"Gabriela Mistral 3, Santiago",Santiago,41,3,18.44
"Calle Valentina Hernández 8127, Lo Barnechea",Lo Barnechea,54,547,19.83
"Iris Peña 69, Maipú",Maipú,44,84,12.54
"Esmeralda 1744, Estación Central",Estación Central,50,1123,9.75
"Los Aromos 6700, Maipú",Maipú,92,258,18.5
"Calle Las Mosquetas 2, Ñuñoa",Ñuñoa,38,469,10.58
"Marisol Molina 407, Vitacura",Vitacura,49,72,24.7
"Las Rosas 207, Maipú",Maipú,36,270,6.37
"Los Copihues 8203, San Miguel",San Miguel,31,1216,9.41
"Los Girasoles 625, Estación Central",Estación Central,35,131,5.13
"Calle Las Araucarias 2905, Estación Central",Estación Central,36,833,5.0
"Arturo Prat 344, Maipú",Maipú,51,1995,11.39
"Arturo Prat 754, Providencia",Providencia,114,911,34.68
"Calle Santino Herrera 952, Ñuñoa",Ñuñoa,33,1332,9.09
"Avenida Irarrázabal 6423, Maipú",Maipú,37,92,14.42
"Los Encinos 5221, Ñuñoa",Ñuñoa,43,230,17.25
"Calle Paula Jaraquemada 792, Lo Barnechea",Lo Barnechea,52,1799,21.57
"Calle Emiliano Rebolledo 82, San Miguel",San Miguel,49,1004,11.41
"Calle Caupolicán 8794, Maipú",Maipú,74,816,20.34
"Calle Fernanda Parada 835, Santiago",Santiago,20,871,5.48
"Las Araucarias 7688, San Miguel",San Miguel,20,427,12.5
"Av. Ariel López 2758, Las Condes",Las Condes,36,36,18.74
"Félix Fernández 84, Santiago",Santiago,69,1227,11.22
"Luis Guzmán 83, Estación Central",Estación Central,23,908,7.36
"Los Copihues 668, Las Condes",Las Condes,20,512,12.25
"Calle María Araya 3152, San Miguel",San Miguel,56,1840,9.67
"Calle Los Alerces 827, Maipú",Maipú,49,327,9.18
"María Pérez 9289, Macul",Macul,28,278,10.05
"O'Higgins 7103, Santiago",Santiago,30,1649,8.87
"Jessica Contreras 99, Macul",Macul,30,1275,5.0
"Avenida Las Rosas 74, Ñuñoa",Ñuñoa,46,578,18.46
"Avenida Manuel Rodríguez 618, Providencia",Providencia,34,112,15.19
"Psje. Paula Jaraquemada 770, La Florida",La Florida,54,193,10.3
"Manuel Rodríguez 2153, La Florida",La Florida,20,854,8.77
"Elisa Carrasco 8852, Maipú",Maipú,31,388,8.66
"Las Margaritas 1217, Maipú",Maipú,28,1448,9.5
"Calle Las Mosquetas 9054, San Miguel",San Miguel,40,2395,10.43
"Paula Jaraquemada 1345, San Miguel",San Miguel,36,1310,9.27
"Manuel Rodríguez 76, La Florida",La Florida,61,379,13.38
"Los Calafates 6277, Santiago",Santiago,21,1243,7.91
"Pedro Pérez 369, Macul",Macul,45,346,11.66
"Sebastián Rodríguez 7447, La Florida",La Florida,55,146,11.96
"Avenida Diego Muñoz 75, Maipú",Maipú,93,27,21.24
"Avenida Las Mosquetas 71, Ñuñoa",Ñuñoa,36,389,13.65
"Los Aromos 12, Ñuñoa",Ñuñoa,50,1871,15.35
"Av. Jonathan Guzmán 7355, Las Condes",Las Condes,21,218,15.7
"María Sepúlveda 855, San Miguel",San Miguel,20,185,8.99
"Calle Lynch 243, Vitacura",Vitacura,62,2800,24.29
"Avda. Los Aromos 581, San Miguel",San Miguel,44,20,13.25
"Avda. Los Encinos 5, San Miguel",San Miguel,71,1232,16.38
"Los Encinos 8172, Providencia",Providencia,25,310,13.58
"Av. José Miguel Carrera 98, San Miguel",San Miguel,55,30,18.76
"Av. Las Mosquetas 4258, Vitacura",Vitacura,94,1998,33.33
"Camino Camilo Henríquez 60, Vitacura",Vitacura,52,120,23.83
"Ignacio Cáceres 3, La Florida",La Florida,49,641,13.16
"Filomena Díaz 778, Ñuñoa",Ñuñoa,44,256,17.16
"Pedro de Valdivia 8517, Las Condes",Las Condes,23,53,12.56
"Miguel Martinez 39, San Miguel",San Miguel,76,40,23.24
"Calle Edgar Rojas 3242, La Florida",La Florida,35,98,7.22
"Los Copihues 5841, Providencia",Providencia,54,59,24.45
"Avenida Ximena Silva 3818, Santiago",Santiago,23,1143,5.0
"Ada Sepúlveda 195, Las Condes",Las Condes,27,531,18.22
"Calle Los Copihues 44, Las Condes",Las Condes,79,335,25.93
"Florencia Villarroel 584, San Miguel",San Miguel,38,433,14.06
"Los Palmitos 56, San Miguel",San Miguel,79,2115,15.87
"Los Piñones 727, Santiago",Santiago,43,1933,9.26
"Los Lirios 6925, Macul",Macul,21,1006,7.53
"Los Copihues 2588, Estación Central",Estación Central,63,1728,12.55
"Manuel Rodríguez 2732, San Miguel",San Miguel,35,308,8.9
"Calle Gabriela Mistral 632, Ñuñoa",Ñuñoa,59,383,17.52
"Clara Flores 5877, La Florida",La Florida,45,760,11.95
"Los Cactus 4687, Providencia",Providencia,24,781,6.79
"Calle María Vásquez 974, San Miguel",San Miguel,47,525,10.96
"Av. Gabriela Mistral 75, Las Condes",Las Condes,107,409,45.5
"Arturo Prat 9835, Vitacura",Vitacura,54,3425,19.12
"Calle Los Girasoles 284, Estación Central",Estación Central,43,1376,11.29
"Psje. Daniel Vilches 9523, La Florida",La Florida,68,456,13.07
"Padre Alberto Hurtado 9257, Santiago",Santiago,48,1039,13.06
"Los Higos 682, San Miguel",San Miguel,48,251,15.29
"Elizabeth Sandoval 649, Lo Barnechea",Lo Barnechea,28,84,19.08
"Jesús Palma 84, Lo Barnechea",Lo Barnechea,49,347,20.25
"Calle Caupolicán 5, Providencia",Providencia,67,412,29.02
"Calle Manuel Rodríguez 499, San Miguel",San Miguel,31,13,11.14
"Calle Esmeralda 396, Macul",Macul,79,1349,17.14
"Calle Teresita Rodríguez 7562, Santiago",Santiago,43,356,13.06
"Calle Aurora Gamboa 30, Providencia",Providencia,31,694,10.39
"Manuel García 686, Estación Central",Estación Central,66,61,14.67
"Calle Martín Guerrero 849, Macul",Macul,39,153,13.13
"Psje. Margarita Gómez 54, San Miguel",San Miguel,60,1763,11.95
"Avenida Antonella Jiménez 244, Santiago",Santiago,39,750,16.72
"Graciela Vera 6, San Miguel",San Miguel,43,2401,7.75
"Calle Sebastián Valdebenito 4747, Providencia",Providencia,54,5347,20.58
"Av. Carmen Toro 4199, Ñuñoa",Ñuñoa,50,371,19.59
"Calle Hortensia Araya 8165, La Florida",La Florida,20,283,8.0
"Avenida Camilo Henríquez 3, Vitacura",Vitacura,28,1563,11.75
"Picarte 634, Las Condes",Las Condes,64,5263,20.3
"Avenida Las Araucarias 1938, Vitacura",Vitacura,42,794,17.96
"Calle Alan Saldivia 5672, Vitacura",Vitacura,36,1268,12.25
"Calle Las Rosas 9547, Maipú",Maipú,25,1217,5.0
"Javier Parraguez 57, Macul",Macul,29,351,6.25
"Av. Martina Canales 620, San Miguel",San Miguel,20,683,10.8
"Calle Las Araucarias 9966, Las Condes",Las Condes,42,1432,18.2
"Arturo Prat 822, San Miguel",San Miguel,35,932,11.51
"Los Copihues 5637, San Miguel",San Miguel,30,17,13.87
"Manuel Rodríguez 50, Lo Barnechea",Lo Barnechea,43,328,19.51
"Caupolicán 3174, San Miguel",San Miguel,51,124,18.63
"Santa Rosa 445, Ñuñoa",Ñuñoa,103,212,29.41
"Psje. Josefa Aguilera 6, Santiago",Santiago,24,1887,7.04
"Pedro Aguirre Cerda 43, Santiago",Santiago,71,30,21.51
"Mabel Pérez 251, Vitacura",Vitacura,65,198,25.29
"Av. Los Alerces 6822, Ñuñoa",Ñuñoa,32,296,21.19
"Claudio Zapata 27, Santiago",Santiago,48,767,12.28
"Claudio Rojas 1679, San Miguel",San Miguel,37,611,10.85
"Vicente Ibáñez 56, Maipú",Maipú,48,196,15.17
"Avda. Las Rosas 1518, Santiago",Santiago,81,143,22.73
"Camino Manuel Baquedano 6226, Lo Barnechea",Lo Barnechea,56,216,23.53
"Manuel Montt 682, Las Condes",Las Condes,54,558,21.86
"Calle Paula Jaraquemada 130, Santiago",Santiago,37,253,8.08
"Calle Las Mandarinas 486, Vitacura",Vitacura,24,2359,10.84
"Calle Carolina Flores 11, San Miguel",San Miguel,41,498,12.77
"Ramón Carnicer 1119, Maipú",Maipú,72,48,17.66
"Las Hortensias 103, San Miguel",San Miguel,24,1045,10.57
"Manuel Montt 902, Ñuñoa",Ñuñoa,29,319,12.32
"Calle Las Mandarinas 699, Santiago",Santiago,47,847,8.42
"Calle Claudia Villalobos 9440, San Miguel",San Miguel,30,262,13.18
"Delia Ferrada 868, San Miguel",San Miguel,32,676,13.08
"Psje. Los Copihues 785, Maipú",Maipú,37,1183,10.21
"Caupolicán 487, Ñuñoa",Ñuñoa,25,2104,8.74
"Calle Roxana Plaza 78, Estación Central",Estación Central,30,242,11.65
"Pedro Aguirre Cerda 643, Maipú",Maipú,59,326,21.46
"Pasaje Lord Thomas Cochrane 530, Lo Barnechea",Lo Barnechea,26,499,13.83
"Santa Rosa 93, Las Condes",Las Condes,23,2095,7.28
"Calle Celia Núñez 1, Las Condes",Las Condes,34,1853,12.51
"Pasaje Lisette Contreras 8, Vitacura",Vitacura,59,75,29.16
"Avenida Beatriz Campos 8546, Las Condes",Las Condes,41,113,15.68
"Gonzalo Herrera 277, Santiago",Santiago,37,547,11.15
"Las Araucarias 63, Las Condes",Las Condes,45,90,22.04
"Gabriela Mistral 132, Ñuñoa",Ñuñoa,22,339,14.69
"Calle Las Lilas 364, La Florida",La Florida,54,128,17.35
"Calle Marta Gallegos 854, Vitacura",Vitacura,52,808,24.6
"Los Lirios 9522, La Florida",La Florida,37,2388,5.0
"Los Abedules 18, Providencia",Providencia,66,4579,23.37
"José Arce 10, Las Condes",Las Condes,28,376,16.09
"Camilo Henríquez 9203, Santiago",Santiago,70,731,16.88
"Los Coihues 1977, Santiago",Santiago,47,1551,6.8
"Calle Gabriela Mistral 1484, Maipú",Maipú,39,99,9.53
"Omar Moya 22, Macul",Macul,44,935,8.15
"Calle Enrique Mac Iver 545, La Florida",La Florida,42,420,5.72
"Arturo Alessandri 8, Providencia",Providencia,72,184,26.54
"Francisca Astudillo 7101, Lo Barnechea",Lo Barnechea,29,412,12.7
"Los Carrera 8021, La Florida",La Florida,32,63,17.89
"Picarte 118, La Florida",La Florida,67,951,12.9
"Calle Melissa Matus 501, Estación Central",Estación Central,35,233,13.03
"Marcelo Muñoz 15, San Miguel",San Miguel,64,298,12.22
"Calle Soledad Villegas 314, Ñuñoa",Ñuñoa,88,103,26.77
"Constanza Zambrano 785, La Florida",La Florida,38,1599,8.57
"Avda. Alonso Pérez 15, Ñuñoa",Ñuñoa,58,544,16.52
"Calle Antonio Varas 799, Maipú",Maipú,28,679,6.41
"Arturo Prat 6773, Maipú",Maipú,60,674,11.41
"Edmundo Garrido 561, San Miguel",San Miguel,48,422,12.33
"Avda. María Sepúlveda 72, La Florida",La Florida,54,171,18.41
"Gabriela Mistral 5475, La Florida",La Florida,34,1093,9.13
"Calle Barros Arana 788, Las Condes",Las Condes,23,108,15.53
"Calle Juan Mackenna 156, Maipú",Maipú,54,87,15.02
"Calle Las Araucarias 9839, San Miguel",San Miguel,20,990,8.44
"Avenida Carlos Sánchez 7212, La Florida",La Florida,39,187,11.21
"Calle Los Tilos 55, Ñuñoa",Ñuñoa,65,293,20.58
"Avda. Victoria Durán 124, Maipú",Maipú,48,515,11.09
"Lastarria 85, Ñuñoa",Ñuñoa,97,477,31.24
"Gabriela Mistral 39, Vitacura",Vitacura,67,986,29.77
"Calle Las Manzanillas 6526, Maipú",Maipú,34,781,7.5
"Avda. Las Margaritas 693, Las Condes",Las Condes,45,827,20.18
"Bilbao 993, Ñuñoa",Ñuñoa,43,1001,13.83
"Avenida David Bascuñán 537, Estación Central",Estación Central,23,276,7.97
"Av. Bulnes 3434, Estación Central",Estación Central,30,311,7.52
"Los Carrera 797, San Miguel",San Miguel,35,460,10.12
"Oscar Gamboa 680, Santiago",Santiago,20,293,11.94
"Cristóbal Lorca 1352, San Miguel",San Miguel,45,3356,10.16
"Alma Concha 256, Providencia",Providencia,40,1345,15.16
"Calle Esmeralda 48, Ñuñoa",Ñuñoa,22,143,8.33
"Los Coihues 398, Santiago",Santiago,52,4,15.74
"Los Copihues 246, La Florida",La Florida,59,34,15.06
"Av. Caupolicán 8738, La Florida",La Florida,48,223,10.48
"Los Aromos 275, La Florida",La Florida,39,97,12.13
"Calle Las Manzanillas 4512, Las Condes",Las Condes,56,609,20.93
"Carlos Martínez 773, San Miguel",San Miguel,58,1561,13.02
"Calle Mateo Campos 83, Las Condes",Las Condes,50,1067,19.72
"Laura González 2419, San Miguel",San Miguel,32,194,8.87
"Jorge García 947, San Miguel",San Miguel,49,407,12.14
"Las Rosas 691, Maipú",Maipú,72,567,14.09
"Los Alerces 249, Ñuñoa",Ñuñoa,35,1329,15.0
"Calle Víctor Contreras 728, Las Condes",Las Condes,103,1461,35.57
"Ramón Barros Luco 862, Las Condes",Las Condes,36,1923,12.88
"Ángel Ríos 9, La Florida",La Florida,45,569,11.75
"Calle Luis Cortés 105, Santiago",Santiago,34,948,13.66
"Los Higos 8688, Las Condes",Las Condes,48,94,24.24
"Santa Rosa 377, Las Condes",Las Condes,22,666,13.04
"Calle Eliodoro Yáñez 3384, Macul",Macul,35,228,13.38
"Las Lilas 97, Las Condes",Las Condes,28,452,17.65
"Luis Contreras 95, La Florida",La Florida,47,804,13.24
"Avda. Los Aromos 5613, Macul",Macul,66,237,18.21
"Calle Gabriela Mistral 27, Las Condes",Las Condes,57,42,27.81
"Calle Paz Alfaro 79, Las Condes",Las Condes,20,8,11.7
"Avenida Segundo Román 69, Estación Central",Estación Central,101,17,16.99
"Sebastián Ortega 5449, Ñuñoa",Ñuñoa,50,6,20.32
"Ramon Ávila 3604, Ñuñoa",Ñuñoa,32,93,14.91
"Calle Rafael Aguayo 86, La Florida",La Florida,47,219,11.06
"Calle Pedro Zúñiga 916, Maipú",Maipú,47,200,13.93
"Avenida Los Coihues 175, Estación Central",Estación Central,34,3461,5.0
"Avda. Manuel Rodríguez 78, La Florida",La Florida,48,292,10.85
"Psje. Matilda Medina 3458, Ñuñoa",Ñuñoa,35,109,14.11
"Ámbar Zamora 10, Las Condes",Las Condes,38,630,12.46
"Avenida Manuel Rodríguez 1277, La Florida",La Florida,33,1561,11.34
"Diego Portales 34, San Miguel",San Miguel,25,906,5.0
"Calle Los Coihues 7520, San Miguel",San Miguel,47,280,11.87
"Avda. Las Araucarias 4110, Maipú",Maipú,56,659,13.7
"Los Piñones 1387, Las Condes",Las Condes,54,1003,22.31
"Avenida Lautaro 7, San Miguel",San Miguel,62,1041,11.22
"Calle Francisco Pérez 61, Vitacura",Vitacura,50,878,23.38
"Los Alerces 9221, San Miguel",San Miguel,36,1637,9.75
"María Calderón 732, Las Condes",Las Condes,62,1632,28.34
"Berta Duarte 7121, Las Condes",Las Condes,25,691,13.53
"Los Copihues 2234, Las Condes",Las Condes,31,449,14.61
"Calle Eliana Salas 50, Santiago",Santiago,30,820,6.73
"Calle Agustina Ibarra 7037, Macul",Macul,68,1363,12.81
"Calle Ramón Freire 605, San Miguel",San Miguel,65,4,16.44
